TOKEN	AVERAGE_ATTENTION	REP_POS	DIST_POS	N_OCCURRENCES_TEST	TRUEPOS	FALSEPOS	TRUENEG	FALSENEG
ferme	0.026669	0.003051	0.327489	20	10	2	6	2
famille	0.026636	0.006101	0.304769	38	18	12	5	3
dénoncé	0.026632	0.002441	-0.047565	27	3	5	14	5
voix	0.026615	0.001830	-0.163961	28	3	7	15	3
prix	0.026606	0.003356	-0.023601	35	6	5	19	5
montre	0.026461	0.003661	0.312205	23	11	1	10	1
parfois	0.026336	0.002135	-0.031693	25	2	8	10	5
appel	0.026333	0.001220	-0.176894	20	2	4	10	4
affiche	0.026308	0.003966	0.423562	25	11	6	4	4
médias	0.026158	0.004576	-0.252262	134	9	15	102	8
jdq	0.026084	0.000610	-0.260958	20	2	5	12	1
chose	0.025879	0.012813	0.369521	73	40	16	15	2
n	0.025805	0.003661	-0.059205	44	10	10	20	4
déclaration	0.025796	0.001220	-0.392098	55	3	2	49	1
compte	0.025688	0.006406	0.148853	49	16	14	14	5
doivent	0.025678	0.004271	0.075297	40	11	6	19	4
,...	0.025631	0.000610	-0.311396	20	1	1	16	2
politique	0.025597	0.012813	-0.176894	217	27	45	129	16
visite	0.025502	0.000305	-0.464338	37	1	2	34	0
ici	0.025440	0.005491	-0.180995	87	11	9	59	8
nous	0.025107	0.039963	-0.069699	536	110	97	283	46
4	0.024847	0.001830	-0.100472	25	3	6	13	3
attaque	0.024811	0.001525	-0.114952	21	5	4	12	0
!!	0.024655	0.010067	-0.050798	141	36	32	66	7
afrique	0.024617	0.001220	-0.080821	20	3	3	12	2
montréal	0.024577	0.001525	-0.232937	37	6	4	25	2
salut	0.024566	0.002746	0.054281	30	6	0	21	3
fillon	0.024453	0.001830	-0.302012	47	5	10	31	1
ta	0.024383	0.021965	0.276320	148	67	36	35	10
position	0.024356	0.002135	-0.071814	27	1	2	18	6
notamment	0.024300	0.001830	-0.149994	25	4	7	12	2
:	0.024289	0.159854	-0.166758	3141	451	381	2071	238
questions	0.024190	0.001830	-0.188903	30	3	8	16	3
rapport	0.024102	0.004576	0.040442	49	14	8	22	5
doute	0.024089	0.002746	0.105866	22	7	7	6	2
père	0.024079	0.008542	0.495617	48	28	7	9	4
3	0.023997	0.002135	-0.254807	48	6	7	34	1
bonne	0.023913	0.015863	0.189384	119	46	25	38	10
hé	0.023886	0.006711	0.818422	25	20	3	0	2
grâce	0.023875	0.003051	0.092110	24	5	3	11	5
parce	0.023781	0.026236	0.285199	173	79	46	38	10
suite	0.023773	0.006406	-0.059205	73	11	17	34	11
accuse	0.023700	0.004271	0.044327	45	10	13	16	6
allemagne	0.023601	0.000610	-0.444370	57	1	1	54	1
sauf	0.023549	0.005186	0.373869	28	13	6	5	4
